7,1343,3.0,1011205940
7,3074,3.0,1011206092
24,1343,5.0,994232761
54,1343,4.0,974837816
54,3074,3.0,975440660
58,1343,5.0,1011841051
91,1343,3.0,1126508353
98,8604,4.0,1357931326
104,901,3.0,944926521
104,3074,2.0,944927318
106,1343,4.0,1244062690
124,1343,3.0,1134477100
130,1343,4.0,850559516
134,1343,5.0,945151835
144,901,4.0,941411857
153,1343,5.0,1101142227
156,478,3.0,1038427938
156,1343,4.0,1041028213
156,2151,4.0,1038104982
156,3074,5.0,1079486130
170,901,4.0,941469756
179,8604,2.5,1126000910
201,4873,5.0,1216031861
205,1343,3.0,1201178462
208,1343,3.0,944593601
208,4873,3.0,1323050482
215,4873,3.5,1415783436
229,1343,4.0,1002121364
247,1343,4.0,939973114
258,62394,3.5,1224809853
295,901,3.0,863971009
295,1343,3.0,863970896
298,1343,4.0,992381108
309,1343,3.5,1082918270
319,1343,3.5,1240548982
332,1343,5.0,901761165
346,3074,3.0,976329774
359,4873,4.0,1086970681
359,62394,3.0,1226218421
367,8604,3.0,1117055310
367,62394,3.0,1227498729
377,1343,4.0,864510938
386,901,2.0,1011745565
389,1343,3.0,886120881
416,1343,4.0,965740682
451,4873,4.5,1234397536
469,1343,3.5,1105660292
469,4873,3.5,1105658246
471,1343,4.0,1118282239
471,3074,4.0,955828434
479,2151,3.0,947806702
486,1343,0.5,1245692417
486,3074,4.5,1245709621
492,8604,4.0,1191936839
522,1343,3.5,1381112750
536,1343,3.0,944944984
544,1343,3.0,1015794106
562,901,4.0,1112075722
586,8604,4.0,1194870944
586,62394,3.0,1235741344
587,901,3.0,945574922
587,2151,1.0,945575416
587,4873,2.0,1010517433
588,1343,5.0,1143654438
593,1343,4.0,862660441
609,1343,3.5,1131632155
609,8604,2.5,1147717904
610,901,3.0,913811394
614,2151,3.0,1034888015
632,1343,3.0,958159416
632,4873,4.0,1045001982
650,4873,4.0,1114776962
662,4873,4.0,1165809148
670,4873,4.0,1006473107
672,1343,3.5,1299252331
675,1343,3.0,868467083
685,2151,4.0,997586770
694,901,3.5,1307635390
702,1343,3.0,1095137094
702,2151,1.5,1095141949
710,4873,4.0,1029829150
717,901,3.0,1055963583
729,62394,1.5,1241110701
732,901,4.0,1075327252
733,1343,2.0,867117406
741,1343,5.0,1192574829
761,478,2.0,903144850
768,1343,3.0,1046372532
768,8604,3.0,1088122128
768,62394,3.0,1260488719
775,1343,4.0,1113807621
775,2151,3.0,1113814604
775,3074,3.5,1113799146
775,4873,2.5,1113800037
776,901,4.0,962985483
